starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 22 17:30:13 2023	1682202613	60	8637	8697	1676
Sat Apr 22 17:31:05 2023	1682202665	56	8668	8724	3806
Sat Apr 22 17:30:13 2023	1682202613	64	8667	8732	1512
Sat Apr 22 17:31:05 2023	1682202665	57	8675	8732	3996
Sat Apr 22 17:30:32 2023	1682202632	102	8645	8748	3636
Sat Apr 22 17:31:19 2023	1682202679	59	8695	8754	4024
Sat Apr 22 17:31:05 2023	1682202665	122	8668	8791	5659
Sat Apr 22 17:31:08 2023	1682202668	62	8751	8813	5408
Sat Apr 22 17:31:08 2023	1682202668	59	8756	8815	5347
Sat Apr 22 17:30:09 2023	1682202609	63	8763	8826	1600
Sat Apr 22 17:31:18 2023	1682202678	54	8793	8846	3102
Sat Apr 22 17:30:52 2023	1682202652	61	8831	8892	686
Sat Apr 22 17:30:30 2023	1682202630	68	8842	8910	4089
Sat Apr 22 17:30:39 2023	1682202639	68	8851	8919	1979
Sat Apr 22 17:30:09 2023	1682202609	63	8892	8955	1676
Sat Apr 22 17:30:27 2023	1682202627	155	8800	8955	3354
Sat Apr 22 17:30:20 2023	1682202620	61	8904	8965	795
Sat Apr 22 17:30:53 2023	1682202653	76	8929	9005	561
Sat Apr 22 17:30:52 2023	1682202652	63	8949	9011	622
Sat Apr 22 17:30:52 2023	1682202652	60	8957	9016	561
Sat Apr 22 17:30:20 2023	1682202620	58	8960	9018	604
Sat Apr 22 17:30:20 2023	1682202620	67	8952	9019	933
Sat Apr 22 17:30:20 2023	1682202620	63	8960	9022	664
Sat Apr 22 17:30:20 2023	1682202620	63	8961	9024	726
Sat Apr 22 17:30:20 2023	1682202620	57	8974	9031	861
Sat Apr 22 17:30:20 2023	1682202620	70	8966	9035	792
Sat Apr 22 17:30:03 2023	1682202603	58	8989	9048	4560
Sat Apr 22 17:30:39 2023	1682202639	62	9003	9065	2143
Sat Apr 22 17:30:59 2023	1682202659	58	9009	9067	4151
Sat Apr 22 17:30:13 2023	1682202613	60	9018	9078	1924
Sat Apr 22 17:31:07 2023	1682202667	68	9044	9112	5248
